type,code,codeIsin,date
STK,FR0000125486,DG,2013-05-31T08:00:00Z,1
STK,FR0000125486,DG,2014-04-28T08:00:00Z,1
STK,FR0000121014,MC,2016-02-25T09:00:00Z,1
STK,FR0000120503,EN,2011-11-03T09:00:00Z,1
STK,FR0000120503,EN,2011-11-07T09:00:00Z,1
STK,FR0000120503,EN,2011-11-08T09:00:00Z,1
STK,FR0000120503,EN,2011-11-09T09:00:00Z,1
STK,FR0000120503,EN,2011-11-10T09:00:00Z,1
SEC,FRIN,null,2012-07-02T08:00:00Z,1
SEC,FRIN,null,2015-01-02T09:00:00Z,1
SEC,FRIN,null,2016-06-06T08:00:00Z,1
SEC,FRIN,null,2016-06-07T08:00:00Z,1
SEC,FRIN,null,2016-06-08T08:00:00Z,1
SEC,FRCG,null,2012-07-02T08:00:00Z,1
SEC,FRCG,null,2015-01-02T09:00:00Z,1
SEC,FRCG,null,2016-06-06T08:00:00Z,1
SEC,FRCG,null,2016-06-07T08:00:00Z,1
SEC,FRCG,null,2016-06-08T08:00:00Z,1
SEC,FROG,null,2012-07-02T08:00:00Z,1
SEC,FROG,null,2015-01-02T09:00:00Z,1
SEC,FROG,null,2016-06-06T08:00:00Z,1
SEC,FROG,null,2016-06-07T08:00:00Z,1
SEC,FROG,null,2016-06-08T08:00:00Z,1
SEC,FRBM,null,2012-07-02T08:00:00Z,1
SEC,FRBM,null,2015-01-02T09:00:00Z,1
SEC,FRBM,null,2016-06-06T08:00:00Z,1
SEC,FRBM,null,2016-06-07T08:00:00Z,1
SEC,FRBM,null,2016-06-08T08:00:00Z,1
SEC,FRHC,null,2012-07-02T08:00:00Z,1
SEC,FRHC,null,2015-01-02T09:00:00Z,1
SEC,FRHC,null,2016-06-06T08:00:00Z,1
SEC,FRHC,null,2016-06-07T08:00:00Z,1
SEC,FRHC,null,2016-06-08T08:00:00Z,1
SEC,FRTEC,null,2012-07-02T08:00:00Z,1
SEC,FRTEC,null,2015-01-02T09:00:00Z,1
SEC,FRTEC,null,2016-06-06T08:00:00Z,1
SEC,FRTEC,null,2016-06-07T08:00:00Z,1
SEC,FRTEC,null,2016-06-08T08:00:00Z,1
SEC,FRUT,null,2012-07-02T08:00:00Z,1
SEC,FRUT,null,2015-01-02T09:00:00Z,1
SEC,FRUT,null,2016-06-06T08:00:00Z,1
SEC,FRUT,null,2016-06-07T08:00:00Z,1
SEC,FRUT,null,2016-06-08T08:00:00Z,1
SEC,FRCS,null,2012-07-02T08:00:00Z,1
SEC,FRCS,null,2015-01-02T09:00:00Z,1
SEC,FRCS,null,2016-06-06T08:00:00Z,1
SEC,FRCS,null,2016-06-07T08:00:00Z,1
SEC,FRCS,null,2016-06-08T08:00:00Z,1
SEC,FRTEL,null,2012-07-02T08:00:00Z,1
SEC,FRTEL,null,2015-01-02T09:00:00Z,1
SEC,FRTEL,null,2016-06-06T08:00:00Z,1
SEC,FRTEL,null,2016-06-07T08:00:00Z,1
SEC,FRTEL,null,2016-06-08T08:00:00Z,1
SEC,FRFIN,null,2012-07-02T08:00:00Z,1
SEC,FRFIN,null,2015-01-02T09:00:00Z,1
SEC,FRFIN,null,2016-06-06T08:00:00Z,1
SEC,FRFIN,null,2016-06-07T08:00:00Z,1
SEC,FRFIN,null,2016-06-08T08:00:00Z,1
SEC,GAZ,null,2010-11-25T09:00:00Z,1
SEC,GAZ,null,2010-12-24T09:00:00Z,1
SEC,GAZ,null,2011-01-17T09:00:00Z,1
SEC,GAZ,null,2011-02-21T09:00:00Z,1
SEC,GAZ,null,2011-05-30T08:00:00Z,1
SEC,GAZ,null,2011-07-04T08:00:00Z,1
SEC,GAZ,null,2011-09-05T08:00:00Z,1
SEC,GAZ,null,2011-11-24T09:00:00Z,1
SEC,GAZ,null,2012-01-02T09:00:00Z,1
SEC,GAZ,null,2012-01-16T09:00:00Z,1
SEC,GAZ,null,2012-02-20T09:00:00Z,1
SEC,GAZ,null,2012-05-28T08:00:00Z,1
SEC,GAZ,null,2012-07-04T08:00:00Z,1
SEC,GAZ,null,2012-09-03T08:00:00Z,1
SEC,GAZ,null,2012-11-22T09:00:00Z,1
SEC,GAZ,null,2013-01-21T09:00:00Z,1
SEC,GAZ,null,2013-02-18T09:00:00Z,1
SEC,GOLD,null,2010-11-25T09:00:00Z,1
SEC,GOLD,null,2010-12-24T09:00:00Z,1
SEC,GOLD,null,2011-01-17T09:00:00Z,1
SEC,GOLD,null,2011-02-21T09:00:00Z,1
SEC,GOLD,null,2011-05-30T08:00:00Z,1
SEC,GOLD,null,2011-07-04T08:00:00Z,1
SEC,GOLD,null,2011-09-05T08:00:00Z,1
SEC,GOLD,null,2011-11-24T09:00:00Z,1
SEC,GOLD,null,2012-01-02T09:00:00Z,1
SEC,GOLD,null,2012-01-16T09:00:00Z,1
SEC,GOLD,null,2012-02-20T09:00:00Z,1
SEC,GOLD,null,2012-05-28T08:00:00Z,1
SEC,GOLD,null,2012-07-04T08:00:00Z,1
SEC,GOLD,null,2012-09-03T08:00:00Z,1
SEC,GOLD,null,2012-11-22T09:00:00Z,1
SEC,GOLD,null,2013-01-21T09:00:00Z,1
SEC,GOLD,null,2013-02-18T09:00:00Z,1
SEC,GYRI1Y,null,2010-12-24T09:00:00Z,1
SEC,GYRI1Y,null,2010-12-31T09:00:00Z,1
SEC,GYRI1Y,null,2011-11-24T09:00:00Z,1
SEC,GYRI1Y,null,2014-03-17T09:00:00Z,1
SEC,GYRI1Y,null,2014-12-29T09:00:00Z,1
SEC,PETB,null,2012-01-02T09:00:00Z,1
SEC,UKRI1Y,null,2010-12-27T09:00:00Z,1
SEC,UKRI1Y,null,2010-12-28T09:00:00Z,1
SEC,UKRI1Y,null,2011-01-03T09:00:00Z,1
SEC,UKRI1Y,null,2011-04-29T08:00:00Z,1
SEC,UKRI1Y,null,2011-05-02T08:00:00Z,1
SEC,UKRI1Y,null,2011-05-30T08:00:00Z,1
SEC,UKRI1Y,null,2011-08-29T08:00:00Z,1
SEC,UKRI1Y,null,2011-12-27T09:00:00Z,1
SEC,UKRI1Y,null,2012-01-02T09:00:00Z,1
SEC,UKRI1Y,null,2016-05-02T08:00:00Z,1
SEC,UKRI1Y,null,2016-05-30T08:00:00Z,1
SEC,SPRI10Y,null,2010-12-24T09:00:00Z,1
SEC,SPRI10Y,null,2010-12-31T09:00:00Z,1
SEC,ITRI1M,null,2010-12-24T09:00:00Z,1
SEC,ITRI1M,null,2010-12-31T09:00:00Z,1
SEC,ITRI1M,null,2011-08-15T08:00:00Z,1
SEC,GYRI10Y,null,2010-12-24T09:00:00Z,1
SEC,GYRI10Y,null,2010-12-31T09:00:00Z,1
SEC,GYRI10Y,null,2012-12-24T09:00:00Z,1
SEC,GYRI10Y,null,2012-12-31T09:00:00Z,1
SEC,GYRI10Y,null,2015-05-25T08:00:00Z,1
SEC,GYRI1M,null,2010-10-29T08:00:00Z,20
SEC,GYRI1M,null,2010-11-01T09:00:00Z,20
SEC,GYRI1M,null,2010-11-02T09:00:00Z,20
SEC,GYRI1M,null,2010-11-03T09:00:00Z,20
SEC,GYRI1M,null,2010-11-04T09:00:00Z,20
SEC,GYRI1M,null,2010-11-05T09:00:00Z,20
SEC,GYRI1M,null,2010-11-08T09:00:00Z,20
SEC,GYRI1M,null,2010-11-09T09:00:00Z,20
SEC,GYRI1M,null,2010-11-10T09:00:00Z,20
SEC,GYRI1M,null,2010-11-11T09:00:00Z,20
SEC,GYRI1M,null,2010-11-12T09:00:00Z,20
SEC,GYRI1M,null,2010-11-15T09:00:00Z,20
SEC,GYRI1M,null,2010-11-16T09:00:00Z,20
SEC,GYRI1M,null,2010-11-17T09:00:00Z,20
SEC,GYRI1M,null,2010-11-18T09:00:00Z,20
SEC,GYRI1M,null,2010-11-19T09:00:00Z,20
SEC,GYRI1M,null,2010-11-22T09:00:00Z,20
SEC,GYRI1M,null,2010-11-23T09:00:00Z,20
SEC,GYRI1M,null,2010-11-24T09:00:00Z,20
SEC,GYRI1M,null,2010-11-25T09:00:00Z,20
SEC,GYRI1M,null,2010-11-26T09:00:00Z,20
SEC,GYRI1M,null,2010-11-29T09:00:00Z,20
SEC,GYRI1M,null,2010-11-30T09:00:00Z,20
SEC,GYRI1M,null,2010-12-01T09:00:00Z,20
SEC,GYRI1M,null,2010-12-02T09:00:00Z,20
SEC,GYRI1M,null,2010-12-03T09:00:00Z,20
SEC,GYRI1M,null,2010-12-06T09:00:00Z,20
SEC,GYRI1M,null,2011-11-11T09:00:00Z,1
SEC,GYRI1M,null,2013-12-23T09:00:00Z,1
SEC,GYRI1M,null,2013-12-24T09:00:00Z,1
SEC,GYRI1M,null,2013-12-31T09:00:00Z,1
SEC,GYRI1M,null,2014-05-12T08:00:00Z,1
SEC,GYRI1M,null,2014-06-02T08:00:00Z,1
SEC,GYRI1M,null,2014-06-05T08:00:00Z,1
SEC,GYRI1M,null,2014-06-09T08:00:00Z,1
SEC,GYRI1M,null,2014-06-16T08:00:00Z,1
SEC,GYRI1M,null,2014-06-17T08:00:00Z,1
SEC,GYRI1M,null,2014-10-17T08:00:00Z,1
SEC,GYRI1M,null,2014-12-29T09:00:00Z,1
SEC,GYRI1M,null,2014-12-31T09:00:00Z,1
SEC,GYRI1M,null,2015-02-27T09:00:00Z,1
SEC,USRI1M,null,2010-11-11T09:00:00Z,1
SEC,USRI1M,null,2010-11-25T09:00:00Z,1
SEC,USRI1M,null,2010-12-24T09:00:00Z,1
SEC,USRI1M,null,2011-01-17T09:00:00Z,1
SEC,USRI1M,null,2011-02-21T09:00:00Z,1
SEC,USRI1M,null,2011-05-30T08:00:00Z,1
SEC,USRI1M,null,2011-07-04T08:00:00Z,1
SEC,USRI1M,null,2011-09-05T08:00:00Z,1
SEC,USRI1M,null,2011-10-10T08:00:00Z,1
SEC,USRI1M,null,2011-11-17T09:00:00Z,1
SEC,USRI1M,null,2011-11-24T09:00:00Z,1
SEC,USRI1M,null,2012-01-02T09:00:00Z,1
SEC,USRI1M,null,2012-01-16T09:00:00Z,1
SEC,USRI1M,null,2012-02-20T09:00:00Z,1
SEC,USRI1M,null,2012-09-03T08:00:00Z,1
SEC,USRI1M,null,2012-10-08T08:00:00Z,1
SEC,USRI1M,null,2012-11-12T09:00:00Z,1
SEC,USRI1M,null,2013-01-21T09:00:00Z,1
SEC,USRI1M,null,2013-02-18T09:00:00Z,1
SEC,USRI1M,null,2013-05-27T08:00:00Z,1
SEC,USRI1M,null,2014-07-04T08:00:00Z,1
SEC,USRI1M,null,2015-07-03T08:00:00Z,1
SEC,USRI1M,null,2016-11-11T09:00:00Z,1
SEC,CHRI1Y,null,2011-01-03T09:00:00Z,1
SEC,CHRI1Y,null,2011-02-02T09:00:00Z,1
SEC,CHRI1Y,null,2011-02-03T09:00:00Z,1
SEC,CHRI1Y,null,2011-02-04T09:00:00Z,1
SEC,CHRI1Y,null,2011-02-07T09:00:00Z,1
SEC,CHRI1Y,null,2011-02-08T09:00:00Z,1
SEC,CHRI1Y,null,2011-04-04T08:00:00Z,1
SEC,CHRI1Y,null,2011-04-05T08:00:00Z,1
SEC,CHRI1Y,null,2011-05-02T08:00:00Z,1
SEC,CHRI1Y,null,2011-06-06T08:00:00Z,1
SEC,CHRI1Y,null,2011-09-12T08:00:00Z,1
SEC,CHRI1Y,null,2011-10-03T08:00:00Z,1
SEC,CHRI1Y,null,2011-10-04T08:00:00Z,1
SEC,CHRI1Y,null,2011-10-05T08:00:00Z,1
SEC,CHRI1Y,null,2011-10-06T08:00:00Z,1
SEC,CHRI1Y,null,2011-10-07T08:00:00Z,1
SEC,CHRI1Y,null,2012-01-02T09:00:00Z,1
SEC,CHRI1Y,null,2012-01-03T09:00:00Z,1
SEC,CHRI1Y,null,2012-01-23T09:00:00Z,1
SEC,CHRI1Y,null,2012-01-24T09:00:00Z,1
SEC,CHRI1Y,null,2012-01-25T09:00:00Z,1
SEC,CHRI1Y,null,2012-01-26T09:00:00Z,1
SEC,CHRI1Y,null,2012-01-27T09:00:00Z,1
SEC,CHRI1Y,null,2012-04-02T08:00:00Z,1
SEC,CHRI1Y,null,2012-04-03T08:00:00Z,1
SEC,CHRI1Y,null,2012-04-04T08:00:00Z,1
SEC,CHRI1Y,null,2012-04-30T08:00:00Z,1
SEC,CHRI1Y,null,2012-06-22T08:00:00Z,1
SEC,CHRI1Y,null,2012-10-01T08:00:00Z,1
SEC,CHRI1Y,null,2012-10-02T08:00:00Z,1
SEC,CHRI1Y,null,2012-10-03T08:00:00Z,1
SEC,CHRI1Y,null,2012-10-04T08:00:00Z,1
SEC,CHRI1Y,null,2012-10-05T08:00:00Z,1
SEC,CHRI1Y,null,2013-01-02T09:00:00Z,1
SEC,CHRI1Y,null,2013-01-03T09:00:00Z,1
SEC,CHRI1Y,null,2013-02-11T09:00:00Z,1
SEC,CHRI1Y,null,2013-02-12T09:00:00Z,1
SEC,CHRI1Y,null,2013-02-15T09:00:00Z,1
SEC,CHRI1Y,null,2013-04-04T08:00:00Z,1
SEC,CHRI1Y,null,2013-04-05T08:00:00Z,1
SEC,CHRI1Y,null,2013-04-29T08:00:00Z,1
SEC,CHRI1Y,null,2013-04-30T08:00:00Z,1
SEC,CHRI1Y,null,2013-06-10T08:00:00Z,1
SEC,CHRI1Y,null,2013-06-11T08:00:00Z,1
SEC,CHRI1Y,null,2013-06-12T08:00:00Z,1
SEC,CHRI1Y,null,2013-06-17T08:00:00Z,1
SEC,CHRI1Y,null,2013-06-19T08:00:00Z,1
SEC,CHRI1Y,null,2013-06-20T08:00:00Z,1
SEC,CHRI1Y,null,2013-06-21T08:00:00Z,1
SEC,CHRI1Y,null,2013-09-19T08:00:00Z,1
SEC,CHRI1Y,null,2013-09-20T08:00:00Z,1
SEC,CHRI1Y,null,2013-10-01T08:00:00Z,1
SEC,CHRI1Y,null,2013-10-02T08:00:00Z,1
SEC,CHRI1Y,null,2013-10-03T08:00:00Z,1
SEC,CHRI1Y,null,2013-10-04T08:00:00Z,1
SEC,CHRI1Y,null,2013-10-07T08:00:00Z,1
SEC,CHRI1Y,null,2014-01-31T09:00:00Z,1
SEC,CHRI1Y,null,2014-02-03T09:00:00Z,1
SEC,CHRI1Y,null,2014-02-05T09:00:00Z,1
SEC,CHRI1Y,null,2014-02-06T09:00:00Z,1
SEC,CHRI1Y,null,2014-04-07T08:00:00Z,1
SEC,CHRI1Y,null,2014-05-02T08:00:00Z,1
