CODE,DATE,VALUE,HIGH,LOW,OPEN
DG,31/05/2013,39.695,40.065,39.195,39.890
DG,28/04/2014,54.150,54.380,53.730,53.810
MC,02/02/2016,145.200,148.450,143.400,148.450
FRIN,08/06/2016,1531.42,1538.67,1527.90,1538.67
FRIN,07/06/2016,1538.63,1545.06,1528.06,1528.06
FRIN,06/06/2016,1527.94,1530.63,1522.57,1529.98
FRCG,08/06/2016,2015.11,2028.40,2008.04,2028.40
FRCG,07/06/2016,2028.40,2030.30,1995.68,1995.68
FRCG,06/06/2016,1995.11,2002.40,1991.62,1994.01
FROG,08/06/2016,798.33,805.39,796.03,802.82
FROG,07/06/2016,802.78,802.78,779.37,779.37
FROG,06/06/2016,779.33,784.01,765.34,774.98
FRBM,08/06/2016,1431.55,1432.90,1416.12,1428.29
FRBM,07/06/2016,1428.29,1435.73,1421.78,1421.78
FRBM,06/06/2016,1419.76,1425.27,1406.62,1406.62
FRHC,08/06/2016,1403.94,1416.65,1398.09,1411.31
FRHC,07/06/2016,1411.31,1423.65,1402.74,1402.74
FRHC,06/06/2016,1402.74,1406.38,1398.69,1401.63
FRTEC,08/06/2016,955.46,965.61,952.84,965.61
FRTEC,07/06/2016,965.61,965.61,961.06,962.71
FRTEC,06/06/2016,962.61,966.44,959.33,966.01
FRUT,08/06/2016,544.64,545.35,535.05,536.67
FRUT,07/06/2016,536.61,537.63,529.54,529.54
FRUT,06/06/2016,527.58,530.82,523.54,530.82
FRCS,08/06/2016,993.58,1003.00,991.93,1003.00
FRCS,07/06/2016,1003.00,1003.31,992.77,993.95
FRCS,06/06/2016,993.63,998.34,991.73,994.55
FRTEL,08/06/2016,750.05,753.67,743.26,747.15
FRTEL,07/06/2016,749.08,750.29,742.32,747.15
FRTEL,06/06/2016,742.80,747.39,737.74,742.81
FRFIN,08/06/2016,759.42,766.32,756.95,766.32
FRFIN,07/06/2016,766.32,770.43,759.51,759.51
FRFIN,06/06/2016,759.37,764.57,756.77,758.81
PX1,08/06/2016,4448.73,4473.29,4435.35,4461.28
PX1,07/06/2016,4475.86,4486.47,4441.21,4443.41
PX1,06/06/2016,4423.38,4435.63,4407.01,4407.01
PX4,08/06/2016,3522.37,3540.25,3512.65,3532.62
PX4,07/06/2016,3545.39,3551.86,3518.38,3520.52
PX4,06/06/2016,3505.84,3513.37,3496.68,3496.68
DAX,08/06/2016,10217.03,10266.37,10177.44,10246.49
DAX,07/06/2016,10287.68,10312.53,10183.19,10196.17
DAX,06/06/2016,10121.08,10148.96,10092.86,10105.09
